date,batch_size,minutes,errors,rework_minutes,note
2026-04-06,58,16.3,0,0.0,
2026-04-07,39,12.8,0,0.0,
2026-04-08,50,18.0,0,0.0,
2026-04-09,60,15.1,0,0.0,
2026-04-10,60,18.7,0,0.0,
2026-04-13,58,13.1,0,0.0,
2026-04-14,45,15.3,0,0.0,
2026-04-15,57,15.6,1,5.2,
2026-04-16,44,13.7,0,0.0,
2026-04-17,59,16.4,0,0.0,
2026-04-20,41,12.3,0,0.0,
2026-04-21,61,20.1,1,7.6,
2026-04-22,40,19.8,1,9.9,batch of exceptions to review
2026-04-23,50,12.1,0,0.0,
2026-04-24,45,10.4,0,0.0,
2026-04-27,50,16.4,1,7.7,
2026-04-28,52,18.3,0,0.0,
2026-04-29,57,110.6,1,18.0,"parser failure, processed manually"
2026-04-30,32,11.7,0,0.0,
2026-05-01,66,15.7,0,0.0,
2026-05-04,43,11.5,0,0.0,
2026-05-05,56,18.5,0,0.0,
2026-05-06,34,11.4,0,0.0,
2026-05-07,50,19.5,1,4.7,batch of exceptions to review
2026-05-08,59,20.6,2,17.9,
2026-05-11,58,20.3,0,0.0,
2026-05-12,45,16.5,1,8.7,
2026-05-13,44,15.2,0,0.0,
2026-05-14,36,12.4,0,0.0,
2026-05-15,57,19.6,1,7.2,
2026-05-18,51,17.7,0,0.0,
2026-05-19,38,15.2,0,0.0,
2026-05-20,55,14.6,0,0.0,
2026-05-21,33,8.8,0,0.0,
2026-05-22,41,14.6,0,0.0,
2026-05-25,45,17.9,0,0.0,
2026-05-26,38,11.6,0,0.0,
2026-05-27,59,15.8,0,0.0,
2026-05-28,52,16.3,0,0.0,
2026-05-29,53,13.2,1,7.6,
2026-06-01,43,13.5,2,11.1,
2026-06-02,61,20.1,1,8.4,
2026-06-03,54,20.5,0,0.0,
2026-06-04,59,21.6,0,0.0,
2026-06-05,36,75.6,1,18.0,"parser failure, processed manually"
2026-06-08,61,21.1,0,0.0,
2026-06-09,65,17.5,1,7.7,
2026-06-10,59,19.1,0,0.0,
2026-06-11,57,15.2,0,0.0,
2026-06-12,60,22.8,0,0.0,
2026-06-15,53,14.4,0,0.0,
2026-06-16,32,11.5,0,0.0,
2026-06-17,47,14.0,0,0.0,
2026-06-18,48,14.1,0,0.0,
2026-06-19,43,25.7,0,0.0,batch of exceptions to review
2026-06-22,53,16.7,0,0.0,
2026-06-23,56,18.7,0,0.0,
2026-06-24,47,15.9,0,0.0,
2026-06-25,50,14.0,1,8.9,
2026-06-26,47,15.9,2,11.3,
