date,batch_size,minutes,errors,rework_minutes,note
2026-01-05,43,73.5,0,0.0,
2026-01-06,58,106.4,2,23.4,
2026-01-07,36,74.2,0,0.0,
2026-01-08,35,75.3,2,26.0,
2026-01-09,29,52.8,0,0.0,
2026-01-12,36,75.7,0,0.0,
2026-01-13,39,73.7,0,0.0,
2026-01-14,58,125.2,0,0.0,
2026-01-15,35,69.9,0,0.0,
2026-01-16,36,114.7,0,0.0,month-end volume
2026-01-19,38,70.9,2,17.4,
2026-01-20,28,53.8,0,0.0,
2026-01-21,30,53.6,1,10.8,
2026-01-22,53,139.5,1,8.0,month-end volume
2026-01-23,48,174.1,1,8.2,month-end volume
2026-01-26,42,86.6,1,12.8,
2026-01-27,40,84.5,2,23.9,
2026-01-28,40,83.4,1,8.2,
2026-01-29,50,103.5,1,7.7,
2026-01-30,37,110.8,0,0.0,month-end volume
2026-02-02,50,102.4,0,0.0,
2026-02-03,57,113.1,2,15.8,
2026-02-04,36,58.5,1,8.0,
2026-02-05,39,81.6,0,0.0,
2026-02-06,46,96.5,2,25.5,
2026-02-09,56,97.0,1,13.9,
2026-02-10,40,71.1,0,0.0,
2026-02-11,48,95.6,0,0.0,
2026-02-12,54,90.0,0,0.0,
2026-02-13,48,98.0,0,0.0,
2026-02-16,43,137.8,0,0.0,month-end volume
2026-02-17,37,71.4,1,14.0,
2026-02-18,36,60.7,1,8.9,
2026-02-19,60,192.8,0,0.0,month-end volume
2026-02-20,54,99.4,0,0.0,
2026-02-23,54,99.8,1,10.0,
2026-02-24,59,101.3,1,8.4,
2026-02-25,43,84.2,1,6.1,
2026-02-26,50,97.9,2,18.7,
2026-02-27,54,96.4,0,0.0,
2026-03-02,39,77.6,1,11.3,
2026-03-03,60,201.7,2,27.5,month-end volume
2026-03-04,37,59.8,0,0.0,
2026-03-05,49,98.1,3,30.6,
2026-03-06,58,99.7,1,9.1,
2026-03-09,59,108.3,1,12.4,
2026-03-10,28,52.7,0,0.0,
2026-03-11,44,77.3,0,0.0,
2026-03-12,32,62.9,1,7.4,
2026-03-13,39,74.9,0,0.0,
2026-03-16,35,58.2,0,0.0,
2026-03-17,36,54.9,1,9.8,
2026-03-18,36,63.3,0,0.0,
2026-03-19,49,90.3,0,0.0,
2026-03-20,55,84.1,3,21.9,
2026-03-23,48,81.8,0,0.0,
2026-03-24,43,71.7,1,13.4,
2026-03-25,32,49.9,0,0.0,
2026-03-26,45,129.0,0,0.0,month-end volume
2026-03-27,36,65.1,0,0.0,
